,title_of_poem,0
200,batyushkov,"Словно гуляка с волшебною тростью,Батюшков нежный со мною живет.Он тополями шагает в замостье,Нюхает розу и Дафну поет. Ни на минуту не веря в разлуку,Кажется, я поклонился ему:В светлой перчатке холодную рукуЯ с лихорадочной завистью жму. Он усмехнулся. Я молвил: спасибо.И не нашел от смущения слов:– Ни у кого – этих звуков изгибы...– И никогда – этот говор валов... Наше мученье и наше богатство,Косноязычный, с собой он принес –Шум стихотворства и колокол братстваИ гармонический проливень слез. И отвечал мне оплакавший Тасса:– Я к величаньям еще не привык;Только стихов виноградное мясоМне освежило случайно язык... Что ж! Поднимай удивленные бровиТы, горожанин и друг горожан,Вечные сны, как образчики крови,Переливай из стакана в стакан... 18 июня 1932"
201,pustuetmesto,"Пустует место. Вечер длится, Твоим отсутствием томим. Назначенный устам твоим Напиток на столе дымится.  Так ворожащими шагами Пустынницы не подойдешь; И на стекле не проведешь Узора спящими губами;  Напрасно резвые извивы – Покуда он еще дымит – В пустынном воздухе чертит Напиток долготерпеливый. "
202,amasterpushechnogo,"А мастер пушечного цеха, Кузнечных памятников швец, Мне скажет – ничего, отец,– Уж мы сошьем тебе такое... "
203,zhizn-upala-kak-zarnica,"Жизнь упала, как зарница,Как в стакан воды – ресница.Изолгавшись на корню,Никого я не виню.Хочешь яблока ночного,Сбитню свежего, крутого,Хочешь, валенки сниму,Как пушинку подниму.Ангел в светлой паутинеВ золотой стоит овчине,Свет фонарного луча –До высокого плеча.Разве кошка, встрепенувшись,Черным зайцем обернувшись,Вдруг простегивает путь,Исчезая где-нибудь.Как дрожала губ малина,Как поила чаем сына,Говорила наугад,Ни к чему и невпопад.Как нечаянно запнулась,Изолгалась, улыбнулась –Так, что вспыхнули чертыНеуклюжей красоты.              ___Есть за куколем дворцовымИ за кипенем садовымЗаресничная страна,–Там ты будешь мне жена.Bыбрав валенки сухиеИ тулупы золотые,Взявшись за руки, вдвоем,Той же улицей пойдем,Без оглядки, без помехиНа сияющие вехи –От зари и до зариНалитые фонари.1925"
204,noch-na-dvore-barskaya-lzha,"Ночь на дворе. Барская лжа: После меня хоть потоп. Что же потом? Хрип горожан И толкотня в гардероб. Бал-маскарад. Век-волкодав. Так затверди ж назубок: Шапку в рукав, шапкой в рукав – И да хранит тебя Бог. Март 1931"
205,tvoim-uzkim-plecham-pod-bichami-krasnet,"Твоим узким плечам под бичами краснеть,Под бичами краснеть, на морозе гореть.Твоим детским рукам утюги поднимать,Утюги поднимать да веревки вязать.Твоим нежным ногам по стеклу босиком,По стеклу босиком, да кровавым песком.Ну, а мне за тебя черной свечкой гореть,Черной свечкой гореть да молиться не сметь.Февраль 1934"
206,vneprinuzhdennosti,"В непринужденности творящего обмена Суровость Тютчева – с ребячеством Верлэна – Скажите – кто бы мог искусно сочетать, Соединению придав свою печать? А русскому стиху так свойственно величье, Где вешний поцелуй и щебетанье птичье! "
207,dikaya-koshka-armyanskaya-rech,"Дикая кошка – армянская речь –Мучит меня и царапает ухо.Хоть на постели горбатой прилечь:О, лихорадка, о, злая моруха!*Падают вниз с потолка светляки,Ползают мухи по липкой простыне,И маршируют повзводно полкиПтиц голенастых по жёлтой равнине.Страшен чиновник – лицо как тюфяк,Нету его ни жалчей, ни нелепей,Командированный – мать твою так! –Без подорожной в армянские степи.Пропадом ты пропади, говорят,Сгинь ты навек, чтоб ни слуху, ни духу, –Старый повытчик**, награбив деньжат,Бывший гвардеец, замыв оплеуху.Грянет ли в двери знакомое: – Ба!Ты ли, дружище, – какая издевка!Долго ль ещё нам ходить по гроба́,Как по грибы деревенская девка?..Были мы люди, а стали – людьё,И суждено – по какому разряду? –Нам роковое в груди колотьёДа эрзерумская кисть винограду. Ноябрь 1930, Тифлис * Моруха – томительный летний зной (прим. редактора).** Повытчик – столоначальник (прим. редактора)."
208,umyvalsya-noch-yu-na-dvore,"Умывался ночью на дворе,–Твердь сияла грубыми звездами.Звездный луч – как соль на топоре,Стынет бочка с полными краями.На замок закрыты ворота,И земля по совести сурова,–Чище правды свежего холстаВряд ли где отыщется основа.Тает в бочке, словно соль, звезда,И вода студеная чернее,Чище смерть, соленее беда,И земля правдивей и страшнее.1921"
209,japoterjalanezhnuju,"– Я потеряла нежную камею, Не знаю где, на берегу Невы. Я римлянку прелестную жалею,– Чуть не в слезах мне говорили вы.  Но для чего, прекрасная грузинка, Тревожить прах божественных гробниц? Еще одна пушистая снежинка Растаяла на веере ресниц.  И кроткую вы наклонили шею. Камеи нет – нет римлянки, увы. Я Тинотину смуглую жалею – Девичий Рим на берегу Невы. "
210,v-lazuri-mesyac-novyj,В лазури месяц новыйЯсен и высок.Радуют подковыЗвонкий грунт дорог.Глубоко вздохнул я:В небе голубомСловно зачерпнул яСеребряным ковшом!Счастья тяжелыйЯ надел венец.В кузнице веселыйРаботает кузнец.Радость бессвязна.Бездна не страшна.Однообразно-Звучно царство сна!12 ноября 1911
211,zhelezoidut,"Идут года железными полками, И воздух полн железными шарами. Оно бесцветное – в воде железясь, И розовое, на подушке грезясь.  Железная правда – живой на зависть, Железен пестик, и железна завязь. И железой поэзия в железе, Слезящаяся в родовом разрезе. "
212,naperlamutrovyj,"На перламутровый челнок Натягивая шелка нити, О пальцы гибкие, начните Очаровательный урок!  Приливы и отливы рук... Однообразные движенья... Ты заклинаешь, без сомненья, Какой-то солнечный испуг,  Когда широкая ладонь, Как раковина, пламенея, То гаснет, к теням тяготея, То в розовый уйдет огонь!.. "
213,kogda-v-dalyokuyu-koreyu,"Когда в далёкую КореюКатился русский золотой,Я убегал в оранжерею,Держа ириску за щекой. Была пора смешливой бульбыИ щитовидной железы,Была пора Тараса БульбыИ наступающей грозы. Самоуправство, своевольство,Поход троянского коня,А над поленницей посольствоЭфира, солнца и огня. Был от поленьев воздух жирен,Как гусеница, на дворе,И Петропавловску-ЦусимеУра на дровяной горе... К царевичу младому ХлоруИ – Господи благослови! –Как мы в высоких голенищахЗа хлороформом в гору шли. Я пережил того подростка,И широка моя стезя –Другие сны, другие гнезда,Но не разбойничать нельзя. 11-13 мая 1932, 1935"
214,sosnovoj-rowicy-zakon,"Сосновой рощицы закон:Виол и арф семейный звон.Стволы извилисты и голы,Но всё же – арфы и виолы.Растут, как будто каждый стволНа арфу начал гнуть ЭолИ бросил, о корнях жалея,Жалея ствол, жалея сил,Виолу с арфой пробудилЗвучать в коре, коричневея.16–18 декабря 1936 Примечания Сосновая роща была перед домом в Задонске, где Мандельштамы снимали дачу. С этого и предыдущего стихотворений Пластинкой тоненькой жиллета... начинается новый цикл. «Произошло возвращение к настоящему, входит сегодняшний день и в Воронеж. «Сосновая рощица» как-то связана с «Задонском» , но это не связь двух стихотворений, растущих из одного корня, – они никогда не смешивались, хотя написаны разом. Иначе говоря, это связь скорее тематическая, чем словесная.» (Н.Я. Мандельштам, Воспоминания, III, c. 225) "
215,ya-zhivu-na-vazhnyh-ogorodah,"Я живу на важных огородах.Ванька-ключник мог бы здесь гулять.Ветер служит даром на заводах,И далеко убегает гать.Чернопахотная ночь степных закраинВ мелкобисерных иззябла огоньках.За стеной обиженный хозяинХодит-бродит в русских сапогах.И богато искривилась половица –Этой палубы гробовая доска.У чужих людей мне плохо спитсяИ своя-то жизнь мне не близка.Апрель 1935, Воронеж Примечания Впервые напечатано в ""Воздушных Путях"", альманах II, Нью-Йорк, 1961. "
216,zdesotvratitelnye,"Здесь отвратительные жабы В густую падают траву. Когда б не смерть, то никогда бы Мне не узнать, что я живу.  Вам до меня какое дело, Земная жизнь и красота? А та напомнить мне сумела, Кто я и кто моя мечта. "
217,neobkhodimostilirazum,"Необходимость или разум Повелевает на земле – Но человек чертит алмазом Как на податливом стекле:  Оркестр торжественный настройте, Стихии верные рабы, Шумите листья, ветры пойте – Я не хочу моей судьбы.  И необузданным пэанам Храм уступают мудрецы, Когда неистовым тимпаном Играют пьяные жрецы.  И, как ее ни называйте И, для гаданий и волшбы, Ее лица ни покрывайте – Я не хочу моей судьбы. "
218,zakutav-rot-kak-vlazhnuyu-rozu,"Закутав рот, как влажную розу,Держа в руках осьмигранные соты,Всё утро дней на окраине мираТы простояла, глотая слезы.И отвернулась со стыдом и скорбьюОт городов бородатых востока;И вот лежишь на москательном ложеИ с тебя снимают посмертную маску.Тифлис 25 октября 1930"
219,holodok-wekochet-temya,"Холодок щекочет темя,И нельзя признаться вдруг,–И меня срезает время,Как скосило твой каблук.Жизнь себя перемогает,Понемногу тает звук,Всё чего-то не хватает,Что-то вспомнить недосуг.А ведь раньше лучше было,И, пожалуй, не сравнишь,Как ты прежде шелестила,Кровь, как нынче шелестишь.Видно, даром не проходитШевеленье этих губ,И вершина колобродит,Обреченная на сруб.1922"
220,notredame,"Где римский судия судил чужой народ – Стоит базилика, и – радостный и первый – Как некогда Адам, распластывая нервы, Играет мышцами крестовый легкий свод.  Но выдает себя снаружи тайный план, Здесь позаботилась подпружных арок сила, Чтоб масса грузная стены не сокрушила, И свода дерзкого бездействует таран.  Стихийный лабиринт, непостижимый лес, Души готической рассудочная пропасть, Египетская мощь и христианства робость, С тростинкой рядом – дуб, и всюду царь – отвес.  Но чем внимательней, твердыня Notre Dame, Я изучал твои чудовищные ребра,– Тем чаще думал я: из тяжести недоброй И я когда-нибудь прекрасное создам... "
221,susalnymzolotom,"Сусальным золотом горят В лесах рождественские елки; В кустах игрушечные волки Глазами страшными глядят.  О, вещая моя печаль, О, тихая моя свобода И неживого небосвода Всегда смеющийся хрусталь! "
222,rimpogovorim,"Поговорим о Риме – дивный град! Он утвердился купола победой. Послушаем апостольское credo: Несется пыль, и радуги висят.  На Авентине вечно ждут царя – Двунадесятых праздников кануны,– И строго-канонические луны – Двенадцать слуг его календаря.  На дольний мир глядит сквозь облак хмурый Над Форумом огромная луна, И голова моя обнажена – О, холод католической тонзуры! "
223,nynche-den-kakoj-to-zheltorotyj,"Нынче день какой-то желторотый –‎ Не могу его понять –И глядят приморские воротаВ якорях, в туманах на меня...Тихий, тихий по воде линялой‎ Ход военных кораблей,И каналов узкие пеналы‎ Подо льдом ещё черней.9-28 декабря 1936"
224,vek_moy_zver_moy,"Век мой, зверь мой, кто сумеет Заглянуть в твои зрачки И своею кровью склеит Двух столетий позвонки?  Кровь-строительница хлещет Горлом из земных вещей, Захребетник лишь трепещет На пороге новых дней.  Тварь, покуда жизнь хватает, Донести хребет должна, И невидимым играет Позвоночником волна.  Словно нежный хрящ ребенка, Век младенческой земли. Снова в жертву, как ягненка, Темя жизни принесли.  Чтобы вырвать век из плена, Чтобы новый мир начать, Узловатых дней колена Нужно флейтою связать.  Это век волну колышет Человеческой тоской, И в траве гадюка дышит Мерой века золотой.  И еще набухнут почки, Брызнет зелени побег, Но разбит твой позвоночник, Мой прекрасный жалкий век!  И с бессмысленной улыбкой Вспять глядишь, жесток и слаб, Словно зверь, когда-то гибкий, На следы своих же лап.  Кровь-строительница хлещет Горлом из земных вещей И горячей рыбой мещет В берег теплый хрящ морей.  И с высокой сетки птичьей, От лазурных влажных глыб Льется, льется безразличье На смертельный твой ушиб."
225,uvy-rastayala-svecha,"Увы, растаяла свечаМолодчиков калёных,Что хаживали вполплечаВ камзольчиках зелёных,Что пересиливали срамИ чумную заразуИ всевозможным господамПрислуживали сразу. И нет рассказчика для жёнВ порочных длинных платьях,Что проводили дни как сонВ пленительных занятьях:Лепили воск, мотали шёлк,Учили попугаевИ в спальню, видя в этом толк,Пускали негодяев. 22 мая 1932"
226,ovremenakhprostykh,"О временах простых и грубых Копыта конские твердят. И дворники в тяжелых шубах На деревянных лавках спят.  На стук в железные ворота Привратник, царственно-ленив, Встал, и звериная зевота Напомнила твой образ, скиф!  Когда с дряхлеющей любовью Мешая в песнях Рим и снег, Овидий пел арбу воловью В походе варварских телег. "
227,ty-rozu-gafiza-kolyshesh,"Ты розу Гафиза колышешьИ нянчишь зверушек-детей,Плечьми осьмигранными дышишьМужицких бычачьих церквей.Окрашена охрою хриплой,Ты вся далеко за горой,А здесь лишь картинка налиплаИз чайного блюдца с водой.Октябрь 1930"
228,kogdamozaikniknut,"Когда мозаик никнут травы И церковь гулкая пуста, Я в темноте, как змей лукавый, Влачусь к подножию Креста.  Я пью монашескую нежность В сосредоточенных сердцах, Как кипариса безнадежность В неумолимых высотах.  Люблю изогнутые брови И краску на лице Святых, И пятна золота и крови На теле статуй восковых.  Быть может, только призрак плоти Обманывает нас в мечтах, Просвечивая меж лохмотий, И дышит в роковых страстях.  Лето 1910"
229,kak-rastet-hlebov-opara,"Как растет хлебов опара,Поначалу хороша,И беснуется от жаруДомовитая душа.Словно хлебные СофииС херувимского столаКруглым жаром налитыеПодымают купола.Чтобы силой или ласкойЧудный выманить припек,Время – царственный подпасок –Ловит слово-колобок.И свое находит местоЧерствый пасынок веков –Усыхающий довесокПрежде вынутых хлебов.1922"
230,kak-tel-ce-malen-koe-krylyshkom,"Как тельце маленькое крылышкомПо солнцу всклянь перевернулосьИ зажигательное стеклышкоНа эмпирее загорелось.Как комариная безделицаВ зените ныла и звенелаИ под сурдинку пеньем жужелицВ лазури мучилась заноза:– Не забывай меня, казни меня,Но дай мне имя, дай мне имя!Мне будет легче с ним, пойми меня,В беременной глубокой сини.1923"
231,rozhdenie-ulybki,"Когда заулыбается дитяС развилинкой и горечи и сласти,Концы его улыбки, не шутя,Уходят в океанское безвластье.Ему непобедимо хорошо,Углами губ оно играет в славе –И радужный уже строчится шов,Для бесконечного познанья яви.На лапы из воды поднялся материк –Улитки рта наплыв и приближенье,–И бьёт в глаза один атлантов мигПод лёгкий наигрыш хвалы и удивленья.9 декабря 1936 – 17 января 1937"
232,amerikankavdvadtsat,"Американка в двадцать лет Должна добраться до Египта, Забыв «Титаника» совет, Что спит на дне мрачнее крипта.  В Америке гудки поют, И красных небоскребов трубы Холодным тучам отдают Свои прокопченные губы.  И в Лувре океана дочь Стоит прекрасная, как тополь; Чтоб мрамор сахарный толочь, Влезает белкой на Акрополь.  Не понимая ничего, Читает «Фауста» в вагоне И сожалеет, отчего Людовик больше не на трoне. "
233,kuvshin-dlinnoj-zhazhdy-dolzhnik-vinovatyj,"Длинной жажды должник виноватый,Мудрый сводник вина и воды,–На боках твоих пляшут козлятаИ под музыку зреют плоды.Флейты свищут, клевещут и злятся,Что беда на твоем ободуЧерно-красном – и некому взятьсяЗа тебя, чтоб поправить беду.21 марта 1937"
234,kak-po-ulicam-kieva-viya,"Как по улицам Киева-ВияИщет мужа не знаю чья жинка,И на щеки её восковыеНи одна не скатилась слезинка.Не гадают цыганочки кралям,Не играют в Купеческом скрипки,На Крещатике лошади пали,Пахнут смертью господские Липки,Уходили с последним трамваемПрямо за город красноармейцы,И шинель прокричала сырая:– Мы вернемся ещё – разумейте...Апрель 1937"
235,segodnjadurnojden,"Сегодня дурной день, Кузнечиков хор спит, И сумрачных скал сень – Мрачней гробовых плит.  Мелькающих стрел звон И вещих ворон крик... Я вижу дурной сон, За мигом летит миг.  Явлений раздвинь грань, Земную разрушь клеть И яростный гимн грянь – Бунтующих тайн медь!  О, маятник душ строг, Качается глух, прям, И страстно стучит рок В запретную дверь к нам... "
236,janeuvizhuznamenitoj,"Я не увижу знаменитой «Федры», В старинном многоярусном театре, С прокопченной высокой галереи, При свете оплывающих свечей. И, равнодушен к суете актеров, Сбирающих рукоплесканий жатву, Я не услышу, обращенный к рампе, Двойною рифмой оперенный стих:  – Как эти покрывала мне постылы...  Театр Расина! Мощная завеса Нас отделяет от другого мира; Глубокими морщинами волнуя, Меж ним и нами занавес лежит. Спадают с плеч классические шали, Расплавленный страданьем крепнет голос И достигает скорбного закала Негодованьем раскаленный слог...  Я опоздал на празднество Расина!  Вновь шелестят истлевшие афиши, И слабо пахнет апельсинной коркой, И словно из столетней летаргии – Очнувшийся сосед мне говорит: – Измученный безумством Мельпомены, Я в этой жизни жажду только мира; Уйдем, покуда зрители-шакалы На растерзанье Музы не пришли!  Когда бы грек увидел наши игры... "
237,ewyo-dalyoko-mne-do-patriarha,"Ещё далёко мне до патриарха,Ещё на мне полупочтенный возраст,Ещё меня ругают за глазаНа языке трамвайных перебранок,В котором нет ни смысла, ни аза:Такой-сякой! Ну что ж, я извиняюсь,Но в глубине ничуть не изменяюсь. Когда подумаешь, чем связан с миром,То сам себе не веришь: ерунда!Полночный ключик от чужой квартиры,Да гривенник серебряный в кармане,Да целлулоид фильмы воровской. Я как щенок кидаюсь к телефонуНа каждый истерический звонок.В нем слышно польское: «дзенкую, пане»,Иногородний ласковый упрекИль неисполненное обещанье. Все думаешь, к чему бы приохотитьсяПосереди хлопушек и шутих,–Перекипишь, а там, гляди, останетсяОдна сумятица и безработица:Пожалуйста, прикуривай у них! То усмехнусь, то робко приосанюсьИ с белорукой тростью выхожу;Я слушаю сонаты в переулках,У всех ларьков облизываю губы,Листаю книги в глыбких подворотнях –И не живу, и все-таки живу. Я к воробьям пойду и к репортерам,Я к уличным фотографам пойду,–И в пять минут – лопаткой из ведерка –Я получу свое изображеньеПод конусом лиловой шах-горы. А иногда пущусь на побегушкиВ распаренные душные подвалы,Где чистые и честные китайцыХватают палочками шарики из теста,Играют в узкие нарезанные картыИ водку пьют, как ласточки с Ян-дзы. Люблю разъезды скворчащих трамваев,И астраханскую икру асфальта,Накрытую соломенной рогожей,Напоминающей корзинку асти,И страусовы перья арматурыВ начале стройки ленинских домов. Вхожу в вертепы чудные музеев,Где пучатся кащеевы Рембрандты,Достигнув блеска кордованской кожи,Дивлюсь рогатым митрам ТицианаИ Тинторетто пестрому дивлюсьЗа тысячу крикливых попугаев. И до чего хочу я разыграться,Разговориться, выговорить правду,Послать хандру к туману, к бесу, к ляду,Взять за руку кого-нибудь: будь ласков,Сказать ему: нам по пути с тобой. Май – 19 сентября 1931"
238,vy-pomnite-kak-beguny,"Вы помните, как бегуныВ окрестностях ВероныЕще разматывать должныКусок сукна зеленый.Но всех других опередитТот самый, тот, которыйИз песни Данта убежит,Ведя по кругу споры.Май 1932 – сентябрь 1935"
239,o-kak-zhe-ya-hochu,"О, как же я хочу,Не чуемый никем,Лететь вослед лучу,Где нет меня совсем.А ты в кругу лучись –Другого счастья нет –И у звезды учисьТому, что значит свет.Он только тем и луч,Он только тем и свет,Что шопотом могучИ лепетом согрет.И я тебе хочуСказать, что я шепчу,Что шопотом лучуТебя, дитя, вручу...23 марта – начало мая 1937"
240,ukrashalsya-otbornoj-sobachinoj,"Украшался отборной собачинойЕгиптян государственный стыд –Мертвецов наделял всякой всячинойИ торчит пустячком пирамид.Ладил с готикой, жил озоруючиИ плевал на паучьи праваНаглый школьник и ангел ворующий –Несравненный Виллон Франсуа.Март 1937, Воронеж"
241,sredilesovunylykh,"Среди лесов, унылых и заброшенных, Пусть остается хлеб в полях некошеным! Мы ждем гостей незваных и непрошеных, Мы ждем гостей!  Пускай гниют колосья недозрелые! Они придут на нивы пожелтелые, И не сносить нам, честные и смелые, Своих голов!  Они растопчут нивы золотистые, Они разроют кладбища тенистые, Потом развяжет их уста нечистые Кровавый хмель!  Они ворвутся в избы почернелые, Зажгут пожар, хмельные, озверелые... Не остановят их седины старца белые, Ни детский плач!  Среди лесов, унылых и заброшенных, Мы оставляем хлеб в полях некошеным. Мы ждем гостей незваных и непрошеных, Своих детей! "
242,kogdaderzhalsjarim,"Когда держался Рим в союзе с естеством, Носились образы его гражданской мощи В прозрачном воздухе, как в цирке голубом, На форуме полей и в колоннаде рощи.  А ныне человек – ни раб, ни властелин, Не опьянен собой – а только отуманен; Невольно думаешь: всемирный гражданин! А хочется сказать – всемирный горожанин! "
243,zabludilsya-ya-v-nebe-chto-delat-1,"Заблудился я в небе – что делать?Тот, кому оно близко, – ответь!Легче было вам, Дантовых девятьАтлетических дисков, звенеть.Не разнять меня с жизнью: ей снитсяУбивать и сейчас же ласкать,Чтобы в уши, в глаза и в глазницыФлорентийская била тоска.Не кладите же мне, не кладитеОстроласковый лавр на виски,Лучше сердце мое разорвитеВы на синего звона куски...И когда я усну, отслуживши,Всех живущих прижизненный друг,Он раздастся и глубже и выше –Отклик неба – в остывшую грудь.9-19 марта 1937"
244,vooruzhyonnyj-zren-em-uzkih-os,"Вооружённый зреньем узких ос,Сосущих ось земную, ось земную,Я чую всё, с чем свидеться пришлось,И вспоминаю наизусть и всуе.И не рисую я, и не пою,И не вожу смычком черноголосым:Я только в жизнь впиваюсь и люблюЗавидовать могучим, хитрым осам.О, если б и меня когда-нибудь моглоЗаставить – сон и смерть минуя –Стрекало воздуха и летнее теплоУслышать ось земную, ось земную...8 февраля 1937"
245,kak-byk-shestikrylyj-i-groznyj,"Как бык шестикрылый и грозный,Здесь людям является трудИ, кровью набухнув венозной,Предзимние розы цветут... Октябрь 1930"
246,obraztvojmuchitelnyj,"Образ твой, мучительный и зыбкий, Я не мог в тумане осязать. «Господи!» – сказал я по ошибке, Сам того не думая сказать.  Божье имя, как большая птица, Вылетело из моей груди! Впереди густой туман клубится, И пустая клетка позади... "
247,dekabrist,"Тому свидетельство языческий сенат - Сии дела не умирают. Он раскурил чубук и запахнул халат, А рядом в шахматы играют.  Честолюбивый сон он променял на сруб В глухом урочище Сибири, И вычурный чубук у ядовитых губ, Сказавших правду в скорбном мире.  Шумели в первый раз германские дубы, Европа плакала в тенетах, Квадриги черные вставали на дыбы На триумфальных поворотах.  Бывало, голубой в стаканах пунш горит, С широким шумом самовара, Подруга рейнская тихонько говорит, Вольнолюбивая гитара.  Еще волнуются живые голоса О сладкой вольности гражданства, Но жертвы не хотят слепые небеса, Вернее труд и постоянство.  Все перепуталось, и некому сказать, Что, постепенно холодея, Все перепуталось, и сладко повторять: Россия, Лета, Лорелея. "
248,tolkodetskieknigi,"Только детские книги читать,Только детские думы лелеять,Все большое далеко развеять,Из глубокой печали восстать.Я от жизни смертельно устал,Ничего от нее не приемлю,Но люблю мою бедную землюОттого, что иной не видал.Я качался в далеком садуНа простой деревянной качели,И высокие темные елиВспоминаю в туманном бреду.1908"
249,faetonwik,"На высоком перевалеВ мусульманской сторонеМы со смертью пировали –Было страшно, как во сне.Нам попался фаэтонщик,Пропеченный, как изюм,Словно дьявола погонщик,Односложен и угрюм.То гортанный крик араба,То бессмысленное «цо»,–Словно розу или жабу,Он берег свое лицо:Под кожевенною маскойСкрыв ужасные черты,Он куда-то гнал коляскуДо последней хрипоты.И пошли толчки, разгоны,И не слезть было с горы –Закружились фаэтоны,Постоялые дворы...Я очнулся: стой, приятель!Я припомнил – черт возьми!Это чумный председательЗаблудился с лошадьми!Он безносой канительюПравит, душу веселя,Чтоб вертелась карусельюКисло-сладкая земля...Так, в Нагорном Карабахе,В хищном городе ШушеЯ изведал эти страхи,Соприродные душе.Сорок тысяч мертвых оконТам видны со всех сторонИ труда бездушный коконНа горах похоронен.И бесстыдно розовеютОбнаженные дома,А над ними неба мреетТемно-синяя чума.12 июня 1931"
250,kolyut-resnicy-v-grudi-prikipela-sleza,"Колют ресницы. В груди прикипела слеза.Чую без страху, что будет и будет гроза. Кто-то чудной меня что-то торопит забыть. Душно – и все-таки до смерти хочется жить. С нар приподнявшись на первый раздавшийся звук, Дико и сонно еще озираясь вокруг, Так вот бушлатник шершавую песню поет В час, как полоской заря над острогом встает. 2 марта 1931 Москва"
251,tjanetsjalesom,"Тянется лесом дороженька пыльная, Тихо и пусто вокруг, Родина, выплакав слезы обильные, Спит, и во сне, как рабыня бессильная, Ждет неизведанных мук.  Вот задрожали березы плакучие И встрепенулися вдруг, Тени легли на дорогу сыпучую: Что-то ползет, надвигается тучею, Что-то наводит испуг...  С гордой осанкою, с лицами сытыми... Ноги торчат в стременах. Серую пыль поднимают копытами И колеи оставляют изрытыми... Все на холеных конях.  Нет им конца. Заостренными пиками В солнечном свете пестрят. Воздух наполнили песней и криками, И огоньками звериными, дикими Черные очи горят...  Прочь! Не тревожьте поддельным веселием Мертвого, рабского сна. Скоро порадуют вас новоселием, Хлебом и солью, крестьянским изделием... Крепче нажать стремена!  Скоро столкнется с звериными силами Дело великой любви! Скоро покроется поле могилами, Синие пики обнимутся с вилами И обагрятся в крови! "
252,10-yanvarya-1934,"Меня преследуют две-три случайных фразы,Весь день твержу: печаль моя жирна...О Боже, как жирны и синеглазыСтрекозы смерти, как лазурь черна. Где первородство? где счастливая повадка?Где плавкий ястребок на самом дне очей?Где вежество? где горькая украдка?Где ясный стан? где прямизна речей, Запутанных, как честные зигзагиУ конькобежца в пламень голубой, –Морозный пух в железной крутят тяге,С голуботвердой чокаясь рекой. Ему солей трехъярусных растворы,И мудрецов германских голоса,И русских первенцев блистательные спорыПредставились в полвека, в полчаса. И вдруг открылась музыка в засаде,Уже не хищницей лиясь из-под смычков,Не ради слуха или неги ради,Лиясь для мышц и бьющихся висков, Лиясь для ласковой, только что снятой маски,Для пальцев гипсовых, не держащих пера,Для укрупненных губ, для укрепленной ласкиКрупнозернистого покоя и добра. Дышали шуб меха, плечо к плечу теснилось,Кипела киноварь здоровья, кровь и пот —Сон в оболочке сна, внутри которой снилосьНа полшага продвинуться вперед. А посреди толпы стоял гравировальщик,Готовясь перенесть на истинную медьТо, что обугливший бумагу рисовальщикЛишь крохоборствуя успел запечатлеть. Как будто я повис на собственных ресницах,И созревающий и тянущийся весь, –Доколе не сорвусь, разыгрываю в лицахЕдинственное, что мы знаем днесь... 16 января 1934"
